linkedin_url,input_name,domain_found,coresignal_id,linkedin_id_found,success
https://www.linkedin.com/company/apissys-sas,APISSYS,apissys.fr,,,false
https://www.linkedin.com/company/ghv-vertriebs-gmbh,GHV Vertriebs- GmbH,,,,false
https://www.linkedin.com/company/bayer,BAYER,bayer.com,,,false
https://www.linkedin.com/company/fimor-electronics,FIMOR ELECTRONICS,,,,false
https://www.linkedin.com/company/eaton,MARTEK POWER F SAS EATON EMOBILITY,,,,false
https://www.linkedin.com/company/gostol-bakery-solutions,Gostol,gostolgroup.com,,,false
https://www.linkedin.com/company/20542,ITESOFT,itesoft.com,,,false
https://www.linkedin.com/company/sodebo,Sodebo,sodebo.com,,,false
https://www.linkedin.com/company/hgh-systemes-infrarouges,HGH SYSTEMES INFRAROUGES,,,,false
https://www.linkedin.com/company/signal-ag,SYGNAL,sygnalapp.com,,,false
https://www.linkedin.com/company/trelleborggroup,TRELLEBORG,trelleborg.com,,,false
https://www.linkedin.com/company/bmw-group,BMW GROUP,bmwgroup.com,,,false
https://www.linkedin.com/company/leach-international,LEACH INTERNATIONAL,,,,false
https://www.linkedin.com/company/efg.cn,EFG Elektronikfertigung GmbH,,,,false
https://www.linkedin.com/company/page-electronica,PAGE ELECTRONICA,,,,false
https://www.linkedin.com/company/vega-industries-inc,VEGA INDUSTRIE,vegatools.com,,,false
https://www.linkedin.com/company/arcil_2,SYNERLINK S.A.,,,,false
https://www.linkedin.com/company/sudelec-usson-en-forez-42550,SUDELEC,sudelec42.com,,,false
https://www.linkedin.com/company/visicom,VITICYM,viticym.com,,,false
https://www.linkedin.com/company/seico,SEICO,seiconsortium.com,,,false
https://www.linkedin.com/company/jtekt-european-operations,JTEKT EUROPE CHEVIGNY,,,,false
https://www.linkedin.com/company/haberkorn-gmbh,HABERKORN,haberkorn.com,,,false
https://www.linkedin.com/company/bombardier,Bombardier,bombardier.com,,,false
https://www.linkedin.com/company/altaroad,ALTAROAD,altaroad.com,,,false
https://www.linkedin.com/company/ba-healthcare,BA HEALTHCARE,ba-healthcare.org,,,false
https://www.linkedin.com/company/eltrev-snc,ELTREV SNC,,,,false
https://www.linkedin.com/company/rubixgroup,RUBIX,rubix.com,,,false
https://www.linkedin.com/company/hp-france,HP FRANCE SAS,,,,false
https://www.linkedin.com/company/tca-spa,TCA PRODUCTION SRL,,,,false
https://www.linkedin.com/company/saab,SAAB,saabnet.com,,,false
https://www.linkedin.com/company/bonsai-systems,BONSAI SYSTEMS GMBH,,,,false
https://www.linkedin.com/company/oceta,OCETA,oceta.com,,,false
https://www.linkedin.com/company/sefpower,SEF POWER,sefpower.com,,,false
https://www.linkedin.com/company/denso,DENSO AUTOMOTIVE FRANCE S.A.R.L,,,,false
https://www.linkedin.com/company/serdi-france,SERDI,serdim-distribution.fr,,,false
https://www.linkedin.com/company/altaix-electr-nica,"ALTAIX ELECTRONICA, S.A.",,,,false
https://www.linkedin.com/company/oceanscan-mst,"OceanScan - Marine Systems & Technology, Lda",,,,false
https://www.linkedin.com/company/cern,CERN,cerner.com,,,false
https://www.linkedin.com/company/leica-geosystems,LEIC,leicastoremiami.com,,,false
https://www.linkedin.com/company/ic-automation,IC AUTOMATION,i-c-automation.com,,,false
https://www.linkedin.com/company/coesia-s-p-a-,COESIA S.P.A,,,,false
https://www.linkedin.com/company/novatech-technologies,NOVATECH TECHNOLOGIES,,,,false
https://www.linkedin.com/company/punch-powertrain,PUNCH POWERTRAIN FRANCE,,,,false
https://www.linkedin.com/company/alpeslasers,ALPES LASERS SA,,,,false
https://www.linkedin.com/company/eaton,Souriau,souriau.com,,,false
https://www.linkedin.com/company/hydro-leduc,HYDRO LEDUC,tidningenproffs.se,,,false
https://www.linkedin.com/company/the-wiw,THE WIW,thewiw.com,,,false
https://www.linkedin.com/company/idil-fibres-optiques,IDIL Fibre optique,,,,false
https://www.linkedin.com/company/nexter-systems,NEXTER SYSTEMS,,,,false
https://www.linkedin.com/company/wattalps,WATTALPS,wattalps.com,22451438,wattalps,true
https://www.linkedin.com/company/molex,MOLEX,molex.com,,,false
https://www.linkedin.com/company/another-brain,AN OTHER BRAIN,anotherbrain.co.jp,,,false
https://www.linkedin.com/company/alpine-cars-racing,Alpine Racing,,,,false
https://www.linkedin.com/company/keyence,KEYENCE,keyence.com,,,false
https://www.linkedin.com/company/elbasecurity,ELBA,elbatt.com,,,false
https://www.linkedin.com/company/iveco-group,IVECO,iveco.com,3580041,iveco,false
https://www.linkedin.com/company/cedrat-technologies,CEDRAT TECHNOLOGIES,cedrat-technologies.com,,,false
https://www.linkedin.com/company/bio-rad,BIO RAD Laboratories SAS,,,,false
https://www.linkedin.com/company/-innova-,INNOVA AS,innovaasistencial.com,,,false
https://www.linkedin.com/company/scortex,SCORTEX,scortex.io,,,false
https://www.linkedin.com/company/oscarlab,OSCARLAB,oscarlab.ca,,,false
https://www.linkedin.com/company/sabarot-wassner,SABAROT WASSNER,,,,false
https://www.linkedin.com/company/sintersa,SCP Sintersa,scp-sa.es,,,false
https://www.linkedin.com/company/sela,S.E.L.A.,selar.co,,,false
https://www.linkedin.com/company/hemargroup,Hemargroup,hemargroup.ch,,,false
https://www.linkedin.com/company/msb-ressources-globales,MSB INDUSTRIES,msbind.ca,,,false
https://www.linkedin.com/company/epiceanancy,EPICEA,epicearth.com,,,false
https://www.linkedin.com/company/salamander-france,SALAMANDER GROUP,salamander-group.co.uk,,,false
https://www.linkedin.com/company/valeo,VALEO,valeo.com,,,false
https://www.linkedin.com/company/serimax,SERIMAX,serimax.com.py,,,false
https://www.linkedin.com/company/protoelectronique-com,EMS PROTO,ems-proto.com,,,false
https://www.linkedin.com/company/liebherr,LIEBHERR GROUP,liebherr.com,,,false
https://www.linkedin.com/company/collins-aerospace,COLLINS AEROSPACE,collinsaerospace.com,2067001,ctg-,false
https://www.linkedin.com/company/habia-cable,HABIA CABLE,habia.com,,,false
https://www.linkedin.com/company/cama-group,Cama S.P.A,camaspan.com,,,false
https://www.linkedin.com/company/seven-solutions,SEVEN SOLUTIONS,seven-solutions.eu,,,false
https://www.linkedin.com/company/elmacom,ELMACOM,elmacommunication.fr,41258216,elmacommunication,false
https://www.linkedin.com/company/tesat,Tesat-Spacecom GmbH & Co. KG,,,,false
https://www.linkedin.com/company/ametra,AMETRA GROUP,ametragroup.com,,,false
https://www.linkedin.com/company/ingenico,INGENICO GROUP,ingenico.ru,,,false
https://www.linkedin.com/company/lynred,LYNRED France,,,,false
https://www.linkedin.com/company/club-entreprises-villeneuve-loubet-cevl,CEVL,cevlan.com,,,false
https://www.linkedin.com/company/eolane,EOLANE COMBREE,,,,false
https://www.linkedin.com/company/michelin,MICHELIN,michelin.com,,,false
https://www.linkedin.com/company/mariella-labels-oy,MARICARE OY,,,,false
https://www.linkedin.com/company/soprema-entreprises,SOPREMA ENTREPRISES,soprema-entreprises.fr,,,false
https://www.linkedin.com/company/hutchinson,HUTCHINSON,hutchinson.com,,,false
